g3_n_Logit,g3_n_Prob,g4_nh_Logit,g4_nh_Prob,committee_g34_MeanLogit,committee_g34_StdLogit,committee_g34_MeanProb,committee_g34_MaxProb,committee_g34_MinProb,committee_g34_SpreadProb,g3_n_x_g4_nh,g3_n_minus_g4_nh,Window_12M->18M,Window_12M->18M_x_g3_n_Logit,Window_12M->18M_x_g4_nh_Logit,Window_18M->24M,Window_18M->24M_x_g3_n_Logit,Window_18M->24M_x_g4_nh_Logit,Window_1M->3M,Window_1M->3M_x_g3_n_Logit,Window_1M->3M_x_g4_nh_Logit,Window_3M->6M,Window_3M->6M_x_g3_n_Logit,Window_3M->6M_x_g4_nh_Logit,Window_6M->12M,Window_6M->12M_x_g3_n_Logit,Window_6M->12M_x_g4_nh_Logit
-1.5661749239959897,0.17276237044077003,-1.980133858489524,0.12130456922275078,-1.7731543912427568,0.292713169713136,0.1470334698317604,0.17276237044077003,0.12130456922275078,0.05145780121801925,3.101235995321716,0.4139589344935344,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.5661749239959897,-1.980133858489524,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.3608099799398292,0.2041086908573703,-2.0370111485487628,0.11537142629331432,-1.6989105642442959,0.4781464317696449,0.1597400585753423,0.2041086908573703,0.11537142629331432,0.08873726456405598,2.7719851001938505,0.6762011686089335,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.3608099799398292,-2.0370111485487628,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.7765904676936581,0.14472465304476778,-1.8630107024007359,0.13435251586537592,-1.819800585047197,0.06110833399310768,0.13953858445507183,0.14472465304476778,0.13435251586537592,0.010372137179391866,3.309807055096414,0.08642023470707771,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.7765904676936581,-1.8630107024007359,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.4758087702033866,0.18606131461854375,-1.5609232441822134,0.1735142074040733,-1.5183660071928,0.06018502172755435,0.17978776101130853,0.18606131461854375,0.1735142074040733,0.012547107214470443,2.303624213378433,0.08511447397882677,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.4758087702033866,-1.5609232441822134,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.2550485377717033,0.43658127447388195,-1.332217472339384,0.20879280584364546,-0.7936330050555437,0.7616734581162956,0.3226870401587637,0.43658127447388195,0.20879280584364546,0.2277884686302365,0.33978011831407445,1.0771689345676807,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.2550485377717033,-1.332217472339384,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.7363089658467987,0.14978237156087837,-1.904639751590249,0.12958424669756854,-1.8204743587185237,0.11902784008165343,0.13968330912922344,0.14978237156087837,0.12958424669756854,0.020198124863309824,3.307043077394369,0.16833078574345017,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.7363089658467987,-1.904639751590249,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.9118721279315083,0.2866168947821105,-1.9964021137918435,0.11958119484511767,-1.454137120861676,0.7668785074019936,0.20309904481361407,0.2866168947821105,0.11958119484511767,0.16703569993699283,1.8204634437103295,1.0845299858603352,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.9118721279315083,-1.9964021137918435,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.948684687558946,0.2791494188502184,-1.4603901608166554,0.18840765838737145,-1.2045374241878006,0.36183041011079786,0.2337785386187949,0.2791494188502184,0.18840765838737145,0.09074176046284693,1.3854497834285076,0.5117054732577094,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.948684687558946,-1.4603901608166554,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.4178440077667007,0.19499979767313652,-1.7290870572163595,0.15070439238861283,-1.57346553249153,0.22008207086303364,0.17285209503087468,0.19499979767313652,0.15070439238861283,0.04429540528452369,2.4515757229811737,0.31124304944965875,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.4178440077667007,-1.7290870572163595,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.842040959380568,0.13681009066753727,-1.746725401377508,0.14846069680830667,-1.794383180379038,0.06739827741654345,0.14263539373792197,0.14846069680830667,0.13681009066753727,0.011650606140769404,3.2175397341278327,-0.09531555800306002,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.842040959380568,-1.746725401377508,0.0,-0.0,-0.0,0.0,-0.0,-0.0
