main_model,gate_feature,quantile,direction,cutoff,gate_rate,specialist,train_acc,train_bacc,train_f1,train_auc,threshold
Elastic+LGBM Blend,D_TSH_3M-0M,0.85,high,38.472899999999974,0.1509433962264151,ET,0.8050314465408805,0.7726041606638621,0.6942800788954635,0.8418212989108512,0.4149999999999998
Elastic+LGBM Blend,TSH_3M,0.85,high,38.47689999999997,0.1509433962264151,ET,0.8050314465408805,0.7726041606638621,0.6942800788954635,0.8418212989108512,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_TSH_last_plus1,0.9,high,25.970119521912352,0.10062893081761007,RF,0.8050314465408805,0.7726041606638621,0.6942800788954635,0.8377910159626578,0.4149999999999998
Elastic+LGBM Blend,TRAb_x_FT3_last,0.75,high,140.80142148921814,0.25031446540880503,RF,0.8050314465408805,0.7716064945542558,0.693069306930693,0.8517115196219673,0.3999999999999998
Elastic+LGBM Blend,D_TSH_3M-0M,0.8,high,25.65900000000001,0.2,Elastic,0.8050314465408805,0.7706088284446493,0.6918489065606361,0.847454330663286,0.4149999999999998
Elastic+LGBM Blend,TSH_3M,0.8,high,25.66300000000001,0.2,Elastic,0.8050314465408805,0.7706088284446493,0.6918489065606361,0.847454330663286,0.4149999999999998
Elastic+LGBM Blend,TSH_last_minus_prev,0.8,high,23.630373434197374,0.2,Elastic,0.8050314465408805,0.7706088284446493,0.6918489065606361,0.8465106897942719,0.4149999999999998
Elastic+LGBM Blend,TSH_last_over_0M_plus1,0.8,high,26.391832669322717,0.2,Elastic,0.8050314465408805,0.7706088284446493,0.6918489065606361,0.8464026393130872,0.4149999999999998
Elastic+LGBM Blend,TSH_mean,0.65,high,1.1532668487289996,0.34968553459119495,Elastic,0.8050314465408805,0.769611162335043,0.6906187624750499,0.8531161758773699,0.4149999999999998
Elastic+LGBM Blend,TRAb_x_FT3_last,0.75,high,140.80142148921814,0.25031446540880503,ET,0.8050314465408805,0.769611162335043,0.6906187624750499,0.8500979657696075,0.4199999999999998
Elastic+LGBM Blend,ThyroidW_x_FT3_last,0.65,high,188.29100000000003,0.34968553459119495,Elastic,0.8050314465408805,0.7686134962254365,0.6893787575150301,0.8500115253846596,0.4999999999999998
Elastic+LGBM Blend,TRAb_x_FT4_last,0.8,high,412.5851017323921,0.2,RF,0.8050314465408805,0.7676158301158301,0.6881287726358148,0.8488013599953897,0.4149999999999998
Elastic+LGBM Blend,TPOAb,0.7,high,1000.0,0.3031446540880503,Elastic,0.8050314465408805,0.7656204978966172,0.6855983772819473,0.8480594133579207,0.4149999999999998
Elastic+LGBM Blend,TPOAb,0.75,high,1000.0,0.3031446540880503,Elastic,0.8050314465408805,0.7656204978966172,0.6855983772819473,0.8480594133579207,0.4149999999999998
Elastic+LGBM Blend,TPOAb,0.8,high,1000.0,0.3031446540880503,Elastic,0.8050314465408805,0.7656204978966172,0.6855983772819473,0.8480594133579207,0.4149999999999998
Elastic+LGBM Blend,TPOAb,0.85,high,1000.0,0.3031446540880503,Elastic,0.8050314465408805,0.7656204978966172,0.6855983772819473,0.8480594133579207,0.4149999999999998
Elastic+LGBM Blend,TPOAb,0.9,high,1000.0,0.3031446540880503,Elastic,0.8050314465408805,0.7656204978966172,0.6855983772819473,0.8480594133579207,0.4149999999999998
Elastic+LGBM Blend,TRAb_x_FT4_last,0.8,high,412.5851017323921,0.2,LGBM,0.8050314465408805,0.7656204978966172,0.6855983772819473,0.8219688238344955,0.4149999999999998
Elastic+LGBM Blend,ThyroidW_x_FT3_last,0.7,high,214.4538,0.30062893081761005,RF,0.8050314465408805,0.7616298334581917,0.6804123711340206,0.8436293436293436,0.4149999999999998
Elastic+LGBM Blend,ThyroidW_x_FT3_last,0.8,high,302.21080000000006,0.2,Elastic,0.8050314465408805,0.7386835129372442,0.6469248291571754,0.851164063850631,0.6249999999999998
Elastic+LGBM Blend,FT4_last_over_0M,0.75,high,0.7524781429663592,0.25031446540880503,Elastic,0.8037735849056604,0.7766596553909987,0.6988416988416989,0.8447458652682533,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_0M,0.8,high,0.8649654304420734,0.2,ET,0.8037735849056604,0.7756619892813923,0.6976744186046512,0.8513945715438254,0.3949999999999998
Elastic+LGBM Blend,TSH_last_over_0M_plus1,0.8,high,26.391832669322717,0.2,LGBM,0.8037735849056604,0.7746643231717858,0.6964980544747081,0.8542903244395782,0.4149999999999998
Elastic+LGBM Blend,D_TSH_3M-0M,0.8,high,25.65900000000001,0.2,LGBM,0.8037735849056604,0.772668990952573,0.6941176470588235,0.8561704028121938,0.4149999999999998
Elastic+LGBM Blend,TSH_3M,0.8,high,25.66300000000001,0.2,LGBM,0.8037735849056604,0.772668990952573,0.6941176470588235,0.8561704028121938,0.4149999999999998
Elastic+LGBM Blend,ThyroidW_x_FT4_last,0.85,high,856.2995999999999,0.1509433962264151,Elastic,0.8037735849056604,0.772668990952573,0.6941176470588235,0.8501123725004323,0.4149999999999998
Elastic+LGBM Blend,D_TSH_3M-0M,0.8,high,25.65900000000001,0.2,ET,0.8037735849056604,0.772668990952573,0.6941176470588235,0.8487293263412666,0.4149999999999998
